Ranking,,Tier,LP
683,Forgive my youth,Grandmaster,372
684,진짜개못하는미드,Grandmaster,371
685,김견백,Grandmaster,371
686,뜨 출격,Grandmaster,371
687,마스크쓰기귀차나,Grandmaster,370
688,Nalalala,Grandmaster,370
689,병장 이승빈,Grandmaster,370
690,qwezr,Grandmaster,369
691,Mot hai ba bon,Grandmaster,369
692,따봉 람머스,Grandmaster,369
693,By 불비,Grandmaster,369
694,aceaco89,Grandmaster,368
695,프로연락친추주셍,Grandmaster,368
696,2001 03 15,Grandmaster,368
697,asdasdsada,Grandmaster,366
698,Dan Xiao Gu,Grandmaster,366
699,콩나물이좋아1,Grandmaster,366
700,평화로운 행동대장 에그타르트,Grandmaster,365
701,dont help me,Grandmaster,365
702,뽀삐의 피지컬,Grandmaster,365
703,twitch 야망1,Grandmaster,364
704,나는쓰레기1,Grandmaster,364
705,한 줌의 여유,Grandmaster,364
706, tian di you wo,Grandmaster,364
707,mingliangxing z,Grandmaster,363
708,구글에 이블린팀,Grandmaster,363
709,포퉁이,Grandmaster,363
710,eddie hoang,Grandmaster,362
711,qi2 8guai,Grandmaster,361
712,만기퇴소 그림자,Grandmaster,361
713,g1hf,Grandmaster,360
714,Caesar00,Grandmaster,360
715,yukee,Grandmaster,360
716,kenzhu Sir,Grandmaster,358
717,마 오,Grandmaster,358
718,pyke k1ng,Grandmaster,357
719,과거로돌아가,Grandmaster,357
720,abcdefgaaa,Grandmaster,357
721,분신컨트롤,Grandmaster,357
722,나이트퓨리의선물,Grandmaster,356
723,zcxvzxzczcxxz,Grandmaster,355
724,골목대장 태훈이,Grandmaster,355
725,Jg Gaper,Grandmaster,354
726,cosmossss,Grandmaster,354
727,눈뜨고봐요,Grandmaster,354
728,새로운 여행,Grandmaster,353
729,heihoushuohua,Grandmaster,352
730,jiba1,Grandmaster,352
731,바실라,Grandmaster,351
732,탈론쓰레기챔프,Grandmaster,351
733,새우깡끼룩,Grandmaster,351
734,볼때마다잘하는놈,Grandmaster,351
735,약속의3코어,Grandmaster,350
736,98tiancai,Grandmaster,349
737,복슬복슬겨드랑이,Grandmaster,349
738,하레온나 fan,Grandmaster,348
739,자신감이 곧 실력,Grandmaster,348
740,의빈아고생하자,Grandmaster,348
741,emo xia0zi,Grandmaster,348
742,혜지King,Grandmaster,348
743,djha,Grandmaster,347
744,이순모,Grandmaster,347
745,구글에롤브라더스,Grandmaster,347
746,OnO OvO,Grandmaster,347
747,정글서폿왕,Grandmaster,346
748,BabyHarpSeal,Grandmaster,346
749,FPX q2380023067f,Grandmaster,346
750,Nyht,Grandmaster,345
751,남장구,Grandmaster,345
752,주상이의모험,Grandmaster,345
753,srysrysrysry1,Grandmaster,345
754,사 용 수,Grandmaster,345
755,한수한수,Grandmaster,344
756,장임박,Grandmaster,344
757,Youtube heeseong,Grandmaster,344
758,그냥 그리워,Grandmaster,344
759,말 벌 AD,Grandmaster,343
760,kata 1000,Grandmaster,343
761,칠대삼,Grandmaster,343
762,dgdsxnh,Grandmaster,342
763,dgwb,Grandmaster,342
764,Saturday Mornlng,Grandmaster,342
765,FATE,Grandmaster,342
766,TsaiIngWen1,Grandmaster,342
767,ni lai wo si,Grandmaster,341
768,1997 01 14,Grandmaster,341
769,버스타고쉔다,Grandmaster,341
770,카밋포이나,Grandmaster,340
771,좀비 클레드,Grandmaster,340
772,asdfghgfca,Grandmaster,339
773,손오공1,Grandmaster,339
774,깡통신,Grandmaster,339
775,ASE 3K,Grandmaster,339
776,행운의네잎클로버,Grandmaster,338
777,Uarein,Grandmaster,338
778,지성153,Grandmaster,338
779,sadwasdxzcx,Grandmaster,337
780,Kay1nn,Grandmaster,337
781,띄 뭉,Grandmaster,337
782,hanyuanchamei,Grandmaster,336
783,babyOwO,Grandmaster,336
784,꼭대기,Grandmaster,336
